Date,Content,Coin
2024-05-02 16:37:30.000000,"🚨🚨
 
#TroiaRobot Yeni Setup 
 
0,35$ civarından AL T satın aldım. Ekleme yapmış oldum 
 
Spottur ve hedefim minimum 6$ olarak devam ediyor.",ALT
2023-04-17 20:05:41.000000,"🚨🚨

Arkadaşlar FORTH'da ana param yoktu biliyorsunuz, tamamı kârdı. Şimdi onu satınca onun yerine ''BON D'' satın aldım.

Dikkat: Ana para ile almadım, FORTH'dan geleni soktum.

Hedefim kısa vade 9,5$, stop noktasını atacağım birazdan.",BOND
2023-03-17 19:22:18.000000,"🚨🚨
 
0,30$'dan sattığım O N T'yi 0,23$'dan geri satın aldım.",ONT
2021-11-27 13:39:10.000000,"🚨🚨

20,6$ fiyattan BAL satın aldım.",BAL
2021-11-26 20:45:12.000000,"🚨🚨

0,105$ fiyattan RVN ekledim. Hedeflerim aynı olacak.",RVN
2021-11-26 14:26:14.000000,"🚨🚨

1,30$ fiyattan DODO ekledim. Hedeflerim aynı.",DODO
2021-11-23 11:05:43.000000,"🚨🚨

0,72'den sattığım tüm FLM'leri 0,61'den geri aldım. Hedefim bu kez 1,5$ olacak.",FLM
2021-11-15 13:12:33.000000,"🚨🚨

4,60$ fiyattan RLC satın aldım. Hedefim 9$ yani 2x olacak.",RLC
2021-11-13 15:11:15.000000,"🚨🚨

0,128$ fiyattan RVN satın aldım.",RVM
2021-11-10 18:52:02.000000,"🚨🚨

2,85'dan sattığım BEL'i 2,61'den yeniden satın aldım.",BEL
2021-11-08 17:41:43.000000,"🚨🚨

12,30$ fiyattan RAY satın aldım.",RAY
2021-11-05 14:43:56.000000,"🚨🚨

15,9$ fiyattan QTUM aldım. Halving'i var. Güzel fiyatlayacağını düşünüyorum.",QTUM
2021-11-03 17:55:01.000000,"🚨🚨

1,78$ fiyattan yeniden DODO satın aldım.",DODO
2021-11-02 19:20:24.000000,"🚨🚨

13,2$ fiyattan UNFI satın aldım. Hedefim 23$ olacak.",UNFI
2021-11-02 12:40:05.000000,"🚨🚨

0,2060$ fiyattan XEM satın aldım.",XEM
2021-11-01 12:37:42.000000,"🚨🚨

25,2$ fiyattan BAL satın aldım.",BAL
2021-10-31 14:41:44.000000,"🚨🚨

0,030$ fiyattan REEF satın aldım.",REEF
2021-10-30 18:30:57.000000,"🚨🚨

0,48'den LINA satın aldım.",LINA
2021-10-29 09:24:25.000000,"🚨🚨

1,90 seviyesinden sattığım tüm DODO'ları 1,46 seviyesinden geri satın aldım.",DODO
2021-10-28 11:27:13.000000,"🚨🚨

2,5'dan sattığım tüm BAKE'leri 1,84'den geri satın aldım.

Hedefim 4$ olacak bu kez.",BAKE
2021-10-26 18:20:10.000000,"🚨🚨

1,10$ fiyattan ATA satın aldım.",ATA
2021-10-26 08:26:07.000000,"🚨🚨

0,1970$ fiyattan TLM satın aldım.",TLM
2021-10-24 19:52:23.000000,"🚨🚨

4,76$ fiyattan LIT satın aldım.",LIT
2021-10-15 13:16:27.000000,"🚨🚨

5,81$ fiyattan $KAVA ekledim.",KAVA
2021-10-14 09:41:16.000000,"🚨🚨

6,03$ fiyattan $CELO satın aldım.",CELO
2021-10-13 10:18:13.000000,"🚨🚨

0,68$ fiyattan $GRT satın aldım.",GRT
2021-10-10 14:10:15.000000,"🚨🚨

1,39-1,40$ ortalama ile $DODO satın aldım.",DODO
2021-10-06 18:22:29.000000,"🚨🚨

1,87$ seviyesineden $BAKE satın aldım.",BAKE
2021-09-08 13:27:12.000000,"🚨🚨
Düşüşten önce 0,49$’dan sattığım O X T’yi 0,37$’dan geri aldım. %7 stoplu.",OXT
2021-08-21 09:36:39.000000,"🚨🚨
0,086$ fiyattan P-O-N-D aldım. Bilginize.",POND
2024-04-14 18:23:32.000000,"🚨🚨

#TroiaRobot Yeni Setup

0,50$’dan ana paramı çekmiş olduğum #ACH ‘yı 0,25$’dan geri satın aldım!

Tam %50 daha ucuza almış oldum.",ACH
2024-03-28 17:11:41.000000,"🚨🚨

#TroiaRobot Yeni Setup

Spot olarak 0,61$'dan #A-L-T satın aldım.

Hedefim 5$ olacak.",ALT
2024-03-11 18:40:07.000000,"🚨🚨

#TroiaRobot Yeni Setup

Spot olarak 0,077$’dan #IOTX satın aldım.

Kısa vade %100’lük bir mum istiyorum. Orta vade ise 0,250$ hedefim.",IOTX
2024-03-04 17:19:00.000000,"🚨🚨

#TroiaRobot Yeni Setup

Spot olarak 2,2$’dan #APE satın aldım.

Hedefim boğadan önce 8,2$ olacak. Boğada ise duruma göre bakarız.",APE
2024-02-27 18:31:54.000000,"🚨🚨

#TroiaRobot Yeni Setup

Spot olarak 0,74$’dan #OCEAN satın aldım.

Sepetimde zaten var olan bir ürün. Minimum 1,5$ hedefli buradan da alıyorum.",OCEAN
2024-02-18 16:47:18.000000,"🚨🚨

#TroiaRobot Yeni Setup

3,20$’dan spot #GAL satın aldım.

12$ hedefli.",GAL
2024-02-01 18:21:24.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#ONT

Entry: 0,228

TP:  0,245$ - 0,0280$ - 0,320$ - 0,360$  - 0,450$

SL: 0,200$ altı gün kapanışı veya %9-11 auto sl",ONT
2024-01-26 17:15:07.000000,"🚨🚨

#TroiaRobot 'dan Yeni Setup   (Spot)

0,024$'dan #ANKR ekledim.

Hedefim 0,060$ olacak.",ANKR
2024-01-12 17:22:39.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#ENJ

Entry: 0,310

TP: 0,340$ - 0,385$ - 0,450$ - 0,555$

SL: 0,285$ altı gün kapanışı veya %9-11 auto sl",ENJ
2024-01-09 16:50:53.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#ALPHA

Entry: 0,097$

TP: 0,110$ - 0,130$ - 0,184$ - 0,255$

SL: 0,080$ altı gün kapanışı veya %9-11 auto sl",ALPHA
2024-01-04 17:54:21.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#A**N--K++R

Entry: 0,0277$

TP:  0,0294$ - 0,0328$ - 0,0370$ - 0,0410$  - 0, 580$

SL: 0,0240$ altı gün kapanışı veya %9-11 auto sl",ANKR
2024-01-03 18:57:12.000000,"🚨🚨

#TroiaRobot 'dan Yeni Setup   (Spot)

0,55$'dan #ARKM satın aldım.

Hedefim 1$ olacak.

0,50$ altı kapanışta stop olabilirim. Kısa vadeli bakıyorum.",ARKM
2023-12-31 17:29:21.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#A**u--D**I++O

Entry: 0,255$

TP:  0,280$ - 0,305$ - 0,330$ - 0,390$  - 0,500$

SL: 0,227$ altı gün kapanışı veya %9-11 auto sl",AUDIO
2023-12-26 18:30:42.000000,"🚨🚨

#TroiaRobot 'dan Yeni Setup   (Spot)

9,6$'dan #APT satın aldım.

Hedeflerim 18$ ve 84$ olacak.",APT
2023-12-26 16:59:10.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#A**u--D**I++O

Entry: 0,264$

TP:  0,280$ - 0,305$ - 0,330$ - 0,390$  - 0,500$

SL: 0,250$ altı gün kapanışı veya %9-11 auto sl",AUDIO
2023-12-22 17:45:47.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#D***G---B

Entry: 0,093$

TP:  0,0102$ - 0,0120$ - 0,0135$ - 0,0160$  - 0,0180$

SL: 0,084$ altı gün kapanışı veya %9-11 auto sl",DGB
2023-11-28 18:17:32.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#W**O--O**

Entry: 0,221$

TP:  0,240$ - 0,256$ - 0,280$ - 0,355$

SL: 0,200$ altı gün kapanışı veya %9-11 auto sl",WOO
2023-11-21 19:55:48.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#A~~D>>U••II==OO

Entry: 0,176$

TP: 0211$ - 0,240$ - 0,310$ - 0,420$

SL: 0,160$ altı gün kapanışı veya %9-11 auto sl",AUDIO
2023-11-18 16:01:41.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#AUDIO

Entry: 0,187$

TP: 0211$ - 0,240$ - 0,310$ - 0,420$

SL: 0,160$ altı gün kapanışı veya %9-11 auto sl",AUDIO
2023-11-14 16:43:24.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#aaaa555uuuuu222DIOOO

Entry: 0,188$

TP: 0211$ - 0,240$ - 0,310$ - 0,420$

SL: 0,160$ altı gün kapanışı veya %9-11 auto sl",AUDIO
2023-11-09 17:20:22.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#B—A///N::D

Entry: 1,44$

TP: 1,64$ - 1,80$ - 2,25$$ - 3$

SL: 1,35$ altı gün kapanışı veya %9-11 auto sl",BAND
2023-11-05 17:07:46.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#Band

Entry: 1,52$

TP: 1,64$ - 1,80$ - 2,25$$ - 3$

SL: 1,35$ altı gün kapanışı veya %9-11 auto sl",BAND
2023-10-16 19:19:14.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#D---------G........B

Entry: 0,0066$

TP: 0,0074$ - 0,0086$ - 0,0107$ - 0,0134$

SL: 0,0058$ altı gün kapanışı veya %9-11 auto sl",DGB
2023-10-07 20:03:27.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#c.*T,s.I

Entry: 0,127$

TP: 0,137$ - 0,145$ - 0,160$ - 0,220$

SL: 0,112$ altı gün kapanışı veya %9-11 auto sl",CTSI
2023-09-24 16:38:03.000000,"🚨🚨

#TroiaRobot 'dan Yeni Setup

0,80$ civarından sattığım #L-E-B (Tersten yazdım)' 0,57$'dan geri satın aldım.

Hedefim yeniden 0,80$ ve 1,34$ olacak.",BEL
2023-09-16 19:35:21.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#AUDIO

Entry: 0,150$

TP: 0,166$ - 0,178$ - 0,200$ - 0,250$

SL: 0,137$ altı gün kapanışı veya %9-11 auto sl",AUDIO
2023-08-20 15:11:18.000000,"🚨🚨

#TroiaRobot 'dan #D *U s- k setup geldi 0,100$'dan. Yine desteği yakın olduğu için paylaşıyorum. Stop: 0,92$ altı gün kapanışı ve ya -%9/11

Dirençler: 0,110$ - 0,124$ - 0,131$ - 0,176$ - 0,214$

Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",DUSK
2023-07-06 14:16:07.000000,"🚨🚨

#TroiaRobot 'dan #BEL sinyali geldi 0,66$’dan.

Kısa vadeli bir trade, stop noktamı grafikte anlatacağım birazdan. Hedefim 1$ civarı olacak hızlıca.",BEL
2023-06-27 14:25:56.000000,"🚨🚨

#TroiaRobot 'dan #ONT sinyali geldi 0,200'$'dan.

Kısa vadeli bir trade, stop noktamı grafikte anlatacağım birazdan. Hedefim yaklaşık %50 - %120 bir kârlılık olacak.",ONT
2023-06-24 15:35:18.000000,"🚨🚨
                                  
#TroiaRobot 'dan #ONT sinyali geldi 0,188$'dan. 0,177$ altı stop şeklinde.                  
                                                          
Hedefler: 0,208$ - 0,229$ - 0,257$ - 0,310$ - 0,450$                                                        
                                                               
Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",ONT
2023-06-16 14:16:45.000000,"🚨🚨 #TroiaRobot’dan #OCEAN sinyali geldi 0,3370$’dan.

#OCEAN ALDIM. OCEAN ALDIM.",OCEAN
2023-06-12 20:07:11.000000,"🚨🚨
 
29 Nisan tarihinde 0,210$'dan  
sattığım 
 
 #__🧿A L_ P_🧿H 🧿A' 
 
yı 0,99$'dan yeniden satın aldım.",AR
